#,Internal Name,Name,Phone,Fax,After Hrs Phone,Address,City,County,State,Zip,Operations Manager,Operations Manager2,Kids' Dentistry OM,RM,RD,SRM,SRM,SRM,SRD,SRD,RP/RVP,TP,Region Name,Professional Corporation,Tax ID,Open Date,Epic Go Live Date
1,National Support Center,Pacific Dental Services National Support Center,(714)845-8500,(949)250-0510,,17000 Red Hill Ave,Irvine,Orange,CA,92614,Dustin Vu,,,Berneice Dang,Pam Hosier,,,,,,Maha Said-Shariff,,,"Pacific Dental Services, Inc.",NA,10/1/2005,
2,Murfreesboro 3,Dentists of Westlawn,(629)240-1489,(629)241-8100,,"1314 Westlawn Blvd, Ste A5",Murfreesboro,Rutherford,TN,37128,,,,,,,,,,,Jack Knudsen,Jacob Kramer,Tennessee Region,"Dentists of West Lawn, PC",99-1338978,6/10/2025,6/3/2024
3,Olney 1,Olney Modern Dentistry,(240)665-5485,(240)667-7024,,3130 Olney Sandy Spring Rd,Olney,Montgomery,MD,20832,Shaketa Robinson,,,Nikkia Bratton,,Brian Kapur,,,,,Joe Taylor,Jacob Kramer,Virginia Maryland Region,"Olney Modern Dentistry, LLC",88-2679156,11/11/2022,11/10/2022
4,West St. Paul 1,Dentists of West St. Paul,(651)347-1252,(651)359-2751,,"1740 S Robert St, Unit 110",West St Paul,Dakota,MN,55118,Ge Lee,,,Michael Alwin,,Nicole Schuette,,,,,Shyanne Boike,Stephanie Wootan,Minnesota Region,Dentists of West St Paul PC,88-2084946,6/30/2022,6/29/2022
6,Irvine,Walnut Dental Group,(949)733-0486,(949)733-0489,,14415 Culver Dr,Irvine,Orange,CA,92604,Julie Falero,,,Vanessa Bradley,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Kansagra and Nguyen Dental Corporation,20-4023989,10/30/1997,7/11/2022
7,Chino Hills 2,Chino Hills Dental Group,(909)364-0001,(909)364-0037,(909)364-8227,"3660 Grand Ave, Ste C",Chino Hills,San Bernardino,CA,91709,Gloria Hernandez,,,Lupe Santos,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Rodgers and Sambangi Dental Corporation,33-0958384,7/1/2003,7/11/2022
8,Brea 2,Brea Modern Dentistry,(714)252-6011,(714)333-9804,,"403 W Imperial Hwy, Unit 102",Brea,Orange,CA,92821,Shantel Crafton,,,Lani Holt,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Kramer Dental Corporation,87-3333113,2/15/2023,2/14/2023
9,Chino Hills 3,My Kid's Dentist,(909)548-6900,(909)548-6933,,"3580 Grand Ave, Ste K",Chino Hills,San Bernardino,CA,91709,,,,Lupe Santos,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,"Charles Fredrick Rodgers, D.D.S. Dental Corporation",33-0958384,3/31/2006,7/11/2022
11,Irvine 2,The Dental Office,(949)975-0150,(949)975-0170,,"17010 Red Hill Ave, Ste D",Irvine,Orange,CA,92614,Viviana Davalos,,,Jerry Meza,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Nicole Smith Dental Corporation,46-3558980,10/7/2013,7/6/2021
12,Norco,Hamner Dental Group,(951)898-8673,(951)898-1147,,"140 Hidden Valley Pkwy, Ste K",Norco,Riverside,CA,92860,Jessica Maldonado,Jessica Maldonado,Anabel De La Cruz,Melanie Smith,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Rodgers and Dhama Dental Corporation,20-3355698,2/20/2006,7/6/2021
13,Chico,Chico Modern Dentistry,(530)332-8972,(530)338-3145,,"241 W. E Ave, Ste 1",Chico,Butte,CA,95926,,,,Tania Ruiz,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,Amardeep Gill and Dhaval Patel Dental Corporation,83-3630652,9/16/2019,5/3/2021
14,Roseville 4,Roseville Modern Dentistry,(916)883-3976,(916)885-1390,,"1990 Blue Oaks Blvd, Ste 100",Roseville,Placer,CA,95747,Jolene Prestwood,,,Tess Franklin,,Melissa Whitley,,,,,Matthew Ornelas,Nicholas D'Amico,Northern CA - Sacramento Region,SIMRAN KAUR DENTAL CORPORATION,88-2701355,10/4/2022,10/3/2022
15,Rancho Cucamonga 2,Winery Estate Dental Group,(909)646-7902,(909)646-7903,,"7369 Day Creek Blvd, Ste F-103",Rancho Cucamonga,San Bernardino,CA,91739,Cyndi Orozco,,,,Linda Mata-Icart,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Ghazal and Hsieh Dental Corporation,20-3200949,11/16/2005,2/1/2021
16,Vista 2,My Kid's Dentist,(760)945-6043,(760)945-6763,,"320 Sycamore Ave, Ste 60",Vista,San Diego,CA,92083,Elizabeth Vega,,,Kevin Skinner,,Matthew McCurley,,,,,Michael Butler,Maha Said-Shariff,San Diego Region,Vincent Tu Dental Corporation,20-5672837,11/27/2006,1/10/2022
17,Riverside 1,Gateway Dental Group,(951)359-5200,(951)359-5202,(951)695-7959,10286 Indiana Ave,Riverside,Riverside,CA,92503,Melba Castillo,Amy Ho,,Melanie Smith,,,,,Ashley Quezada,,Kimberly Valko,Maha Said-Shariff,Inland Desert Region,Buki Ajayi Dental Corporation,20-3463405,10/27/2005,7/11/2022
18,Newbury Park,Park Place Dental Group,(805)499-4441,(805)499-4410,,"501 S Reino Rd, Ste G",Newbury Park,Ventura,CA,91320,Denise Garcia,,,Alex Ranu,,Haila El-Kerdi,,,,,Dan Rodriguez,Maha Said-Shariff,North Los Angeles Region,Dental Corporation of Jade Gilbert,46-2733797,8/1/2013,1/10/2022
19,Yorba Linda,Yorba Linda Dental Group,(714)970-2801,(714)970-2807,(714)970-7674,"18432 Yorba Linda Blvd, Ste D",Yorba Linda,Orange,CA,92886,Bea Gomez,Bea Gomez,,Lani Holt,,Tina Nguyen,,,,,Alex Creelman,Maha Said-Shariff,Orange County Region,Rodgers and Dang Dental Corporation,20-1783377,12/27/2004,1/10/2022
20,San Bernardino 2,Hub Plaza Dental Group,(909)796-6700,(909)796-6779,,"1047 Harriman Pl, Ste B",San Bernardino,San Bernardino,CA,92408,Sonia Erquiaga,,,Lupe Santos,,,,,,,Erin Ortega,Maha Said-Shariff,North Inland Empire Region,Mayberry Dental Corporation,20-2546329,4/25/2005,2/7/2022
