#,Name,Mnemonic,IP,State
1,National Support Center,PDS,,CA
2,Murfreesboro 3,D0002,10.51.211.11,TN
3,Olney 1,D0003,10.55.25.11,MD
4,West St. Paul 1,D0004,10.55.33.11,MN
6,Irvine,IRV,192.168.220.11,CA
11,Irvine 2,IRV2,10.51.185.11,CA
12,Norco,NRC,10.50.145.11,CA
13,Chico,D0013,10.53.89.11,CA
14,Roseville 4,D0014,10.55.60.11,CA
15,Rancho Cucamonga 2,RC2,10.50.133.11,CA
16,Vista 2,VS2,10.50.168.11,CA
17,Riverside 1,RV1,10.50.132.11,CA
18,Newbury Park,NBP1,10.51.171.11,CA
19,Yorba Linda,YBL,10.50.112.11,CA
20,San Bernardino 2,SB2,10.50.120.11,CA
21,Lake Forest,LAK,192.168.85.11,CA
22,Victorville,VIC,192.168.88.11,CA
23,Yucaipa,YUC,192.168.90.11,CA
24,Camarillo,CAM,192.168.89.11,CA
25,Murrieta,MUR,192.168.95.11,CA
26,Rancho SM,RS3,192.168.237.11,CA
27,La Canada Flintridge,LCD1,10.51.181.11,CA
28,Hemet,HEM,10.50.119.11,CA
30,Santa Clarita,SCA,10.50.104.11,CA
31,Bakersfield,BAK,10.50.103.11,CA
32,Huntington Beach 2,HB2,10.50.105.11,CA
33,San Marcos,SAM,10.50.106.11,CA
34,Eastvale,EAS,10.50.109.11,CA
35,Bakersfield 2,BA2,10.50.111.11,CA
36,Oceanside 3,OC3,10.50.113.11,CA
37,Burbank,BUR,10.50.116.11,CA
38,Riverside 5,RV5,10.50.137.11,CA
39,Simi Valley 2,SIM2,10.50.245.11,CA
40,Wildomar 2,WI2,10.50.121.11,CA
41,Murrieta 3,MU3,10.50.123.11,CA
42,Castaic,CAS,10.50.117.11,CA
43,Fontana,FON,10.50.114.11,CA
44,Tierrasanta,TIS,10.50.115.11,CA
45,Simi Valley 3,SI3,10.50.125.11,CA
46,Murrieta 4,MU4,10.50.126.11,CA
47,Valencia 3,VA3,10.50.152.11,CA
48,Moreno Valley,MOV,10.50.144.11,CA
49,Corona 3,CO3,10.50.128.11,CA
50,Upland,UPL,192.168.159.11,CA
51,Palm Desert,PMD,192.168.235.11,CA
52,Riverside 3,RV3,10.52.18.11,CA
53,Laguna Beach,LAG,192.168.231.11,CA
54,Temecula 1,TEM,192.168.233.11,CA
55,Tustin,TUS,192.168.234.11,CA
56,Anaheim Hills,ANH,192.168.236.11,CA
57,Visalia 3,D0057,10.55.15.11,CA
58,Laguna Niguel,LNN,192.168.238.11,CA
59,Chino Hills 1,CH2,10.50.102.11,CA
60,San Diego 11,D0060,10.55.23.11,CA
61,Hesperia 2,HS2,192.168.241.11,CA
62,Rancho Cucamonga,CUC,192.168.242.11,CA
63,Henderson 10,D0063,10.55.38.11,NV
64,La Quinta,LAQ,192.168.244.11,CA
66,San Bernardino,SBE,192.168.245.11,CA
67,Pacific Beach,D0067,10.52.76.11,CA
68,Murrieta 2,MU2,192.168.99.11,CA
69,Wildomar,WIL,192.168.98.11,CA
70,San Clemente,SCL,10.50.1.11,CA
71,Huntington Beach,HB1,192.168.104.11,CA
72,Oceanside,OCN,192.168.247.11,CA
73,Corona 2,CO2,192.168.103.11,CA
74,Redlands,RED,192.168.105.11,CA
75,Rialto,RIA,192.168.106.11,CA
76,Temecula 2,TM2,10.50.82.11,CA
77,Cathedral City,CAT,10.50.83.11,CA
78,Menifee,MEN,10.50.84.11,CA
79,Escondido,ESC,N/A,CA
80,Simi Valley,SIM,10.50.86.11,CA
81,Thousand Oaks,THO,10.50.87.11,CA
82,Santee,SAN,10.50.88.11,CA
83,Vista,VIS,10.50.89.11,CA
84,Valencia,VAL,10.50.90.11,CA
85,La Verne,LAV,10.50.91.11,CA
86,San Dimas,SND,10.50.92.11,CA
87,Poway,POW,10.50.93.11,CA
88,Valencia 2,VA2,10.50.94.11,CA
89,Northridge,NOR,10.50.95.11,CA
90,Oceanside 2,OC2,10.50.96.11,CA
91,UTC,UTC1,10.51.188.11,CA
92,Elk Grove,ELK,10.50.98.11,CA
93,Rancho Cordova,RAC,10.50.99.11,CA
94,Roseville 1,ROS,10.50.100.11,CA
95,Fair Oaks,FAO,10.50.101.11,CA
96,Natomas,NAT,10.50.107.11,CA
97,Roseville 2,RO2,10.50.108.11,CA
98,Citrus Heights,CIT,10.50.110.11,CA
99,Folsom,FOL,10.50.118.11,CA
101,Stockton,STO,10.50.139.11,CA
102,Lincoln,LNC,10.50.148.11,CA
103,Roseville 3,RO3,10.50.147.11,CA
104,Elk Grove 2,EG2,10.50.192.11,CA
105,Natomas 2,NA2,10.50.150.11,CA
106,Rocklin,ROC,10.50.151.11,CA
107,El Dorado Hills,EDH,10.50.179.11,CA
108,San Diego 10,D0108,10.54.221.11,CA
109,Castro Valley,CVL1,10.51.177.11,CA
110,Gilbert,GIL,10.50.122.11,AZ
111,Chandler,CND,10.50.141.11,AZ
112,Desert Ridge,DSR,10.50.124.11,AZ
113,Las Tiendas,LAT,10.50.130.11,AZ
114,West Seattle 1,D0114,10.55.19.11,WA
115,Murrieta 6,D0115,10.55.12.11,CA
116,Avondale,AVO,10.50.164.11,AZ
117,Buckeye 1,SDC,10.50.195.11,AZ
118,Peoria 1,PEO1,10.50.220.11,AZ
119,Arlington 2,D0119,10.54.247.11,TX
120,Surprise,SPR,10.50.176.11,AZ
121,Tolleson,TOL,10.50.170.11,AZ
122,Gilbert 3,GI3,10.50.183.11,AZ
123,Tatum,TAT,10.50.156.11,AZ
124,Avondale 2,AV2,10.50.174.11,AZ
125,Queen Creek,QNC,10.50.196.11,AZ
126,Superstition,SPS,10.50.193.11,AZ
127,Pacific Highlands 1,D0127,10.52.194.11,CA
128,Tucson,TCN,10.50.181.11,AZ
129,Gilbert 2,GI2,,AZ
130,Lake Elsinore 2,EL2,10.50.166.11,CA
131,Costa Mesa 2,CM2,10.50.127.11,CA
132,Mission Viejo,MSV,10.50.135.11,CA
133,Encinitas,ENC,10.50.138.11,CA
134,Thousand Oaks 2,TO2,10.50.129.11,CA
135,Upland 2,UP2,10.50.131.11,CA
136,West Hills,WSH,10.50.142.11,CA
137,Sharpsburg 1,ELC,10.54.249.11,GA
138,Ventura Main,VNT,10.50.140.11,CA
139,Lake Elsinore,ELS,10.50.143.11,CA
140,Foothill Ranch,FHR,10.50.158.11,CA
141,Temecula 3,TM3,10.50.163.11,CA
142,Palmdale,PAL,10.50.165.11,CA
143,Westlake Village 1,WLV1,10.51.143.11,CA
144,Moorpark,MRP,10.50.187.11,CA
145,Apple Valley 2,APV2,10.50.204.11,CA
146,Apple Valley 1,APV,10.50.199.11,CA
147,Palm Desert 2,PM2,10.50.205.11,CA
148,Diamond Bar,DBR1,10.51.32.11,CA
149,Glendora,GLN,10.50.191.11,CA
150,Fontana 2,FN2,10.50.189.11,CA
151,Rancho Cucamonga 5,CUC5,10.51.167.11,CA
152,Perris,PRS,10.50.200.11,CA
153,Turlock,TLK1,10.51.180.11,CA
154,Manteca,MTC,10.50.201.11,CA
155,North Las Vegas 4,D0155,10.55.17.11,NV
156,Murrieta 5,MU5,10.50.167.11,CA
157,Antelope,ANT,10.50.146.11,CA
158,Arcadia,ARC,10.50.177.11,CA
159,Granada Hills,GRH,10.50.182.11,CA
160,Moreno Valley 2,MV2,10.50.198.11,CA
